"C. W. McCall","Convoy","bb2vW999dio","E:/Karaoke/Songs/C. W. McCall - Convoy - bb2vW999dio.mp4"
"Cage the Elephant","Ain't No Rest for the Wicked","0su6Ovfbetk","E:/Karaoke/Songs/Cage the Elephant - Ain't No Rest for the Wicked - 0su6Ovfbetk.mp4"
"CAKE","Daria","bv5dKRUE7g0","E:/Karaoke/Songs/CAKE - Daria - bv5dKRUE7g0.mkv"
"CAKE","Guitar","T8BLxEHXN8w","E:/Karaoke/Songs/CAKE - Guitar - T8BLxEHXN8w.mkv"
"CAKE","I Will Survive","P88ipRPIEqU","E:/Karaoke/Songs/CAKE - I Will Survive - P88ipRPIEqU.mkv"
"CAKE","It's Coming Down","KeQ6NBthiuk","E:/Karaoke/Songs/CAKE - It's Coming Down - KeQ6NBthiuk.mkv"
"CAKE","Jolene","T3XB7sfD0hU","E:/Karaoke/Songs/CAKE - Jolene - T3XB7sfD0hU.mkv"
"CAKE","Mr. Mastadon Farm","1LwSsDSuwF8","E:/Karaoke/Songs/CAKE - Mr. Mastadon Farm - 1LwSsDSuwF8.mkv"
"CAKE","Never There","BlofoTpdjZk","E:/Karaoke/Songs/CAKE - Never There - BlofoTpdjZk.mkv"
"CAKE","Opera Singer","flx8pXDpWe4","E:/Karaoke/Songs/CAKE - Opera Singer - flx8pXDpWe4.mkv"
"CAKE","Rock 'n' Roll Lifestyle","hE-cV0OIrKg","E:/Karaoke/Songs/CAKE - Rock 'n' Roll Lifestyle - hE-cV0OIrKg.mkv"
"CAKE","Satan Is My Motor","2d9-GV35Wjo","E:/Karaoke/Songs/CAKE - Satan Is My Motor - 2d9-GV35Wjo.mkv"
"CAKE","War Pigs","1hvcyva1Bv8","E:/Karaoke/Songs/CAKE - War Pigs - 1hvcyva1Bv8.mp4"
"Captain Lou Albano","The Super Mario Bros Super Show Theme","IQTwBagRrk4","E:/Karaoke/Songs/Captain Lou Albano - The Super Mario Bros Super Show Theme - IQTwBagRrk4.mp4"
"Cardigans, The","Erase Rewind","DIm16pfRy2s","E:/Karaoke/Songs/Cardigans, The - Erase Rewind - DIm16pfRy2s.mp4"
"Cardigans, The","Fine","yJ J4i1EkFY","E:/Karaoke/Songs/Cardigans, The - Fine - yJ_J4i1EkFY.mp4"
"Cardigans, The","Happy Meal","r648RAYk-2Q","E:/Karaoke/Songs/Cardigans, The - Happy Meal - r648RAYk-2Q.mp4"
"Cardigans, The","I Need Some Fine Wine and You...","sFyviAlfKHM","E:/Karaoke/Songs/Cardigans, The - I Need Some Fine Wine and You... - sFyviAlfKHM.mp4"
"Cardigans, The","Iron Man","wuKh6S1dnag","E:/Karaoke/Songs/Cardigans, The - Iron Man - wuKh6S1dnag.mp4"
"Cardigans, The","Lovefool","A7gF5FAs6zQ","E:/Karaoke/Songs/Cardigans, The - Lovefool - A7gF5FAs6zQ.mp4"
"Cardigans, The","My Favourite Game","XuifRLbSdso","E:/Karaoke/Songs/Cardigans, The - My Favourite Game - XuifRLbSdso.mp4"
"Cardigans, The","Rise & Shine","tEnasjV v3M","E:/Karaoke/Songs/Cardigans, The - Rise & Shine - tEnasjV_v3M.mp4"
"Cardigans, The","Sabbath Bloody Sabbath","18nz5d7HCgI","E:/Karaoke/Songs/Cardigans, The - Sabbath Bloody Sabbath - 18nz5d7HCgI.mp4"
"Cardigans, The","Sick & Tired","GfFuDriL-9Q","E:/Karaoke/Songs/Cardigans, The - Sick & Tired - GfFuDriL-9Q.mp4"
